"","COYNAME","REGNO","ACCTYPEDESC","COYDESC","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"90","WHEELOCK PROPERTIES (SINGAPORE) LIMITED","197201797H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,2071877000,974463000,1097414000,411939000,396132000,15807000,1659938000,0,1055901000,0,604037000,2.46,80.12,19.88
"91","YONGMAO HOLDINGS LIMITED","200510649K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,303981000,51669000,252312000,2819000,2819000,0,301162000,2,312484000,-6230000,-5092000,18.33,99.07,0.93
"92","YONGNAM HOLDINGS LIMITED","199407612N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,120479000,116000,120363000,3426000,3426000,0,117053000,0,94493000,23395000,-835000,0.03,97.16,2.84
"93","GREEN BUILD TECHNOLOGY LIMITED","200401338W","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,99563000,12087000,87476000,2875000,2692000,183000,96688000,2,113179000,-2164000,-14327000,4.49,97.11,2.89
"94","ZAGRO ASIA LIMITED","199406784D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,33241000,11943000,21298000,404000,404000,0,32837000,0,30004000,4000,2829000,29.56,98.78,1.22
"95","SINGAPORE PENGJIE INTERNATIONAL TRADING COMPANY LIMITED","200611975H","Company","PUBLIC COMPANY LIMITED BY SHARES",2010,23503000,23470000,33000,11390000,11390000,0,12113000,1,271023000,0,-258910000,2.06,51.54,48.46
"96","ZIWO HOLDINGS LTD.","200800853Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,165450000,25272000,140178000,12113000,10873000,1240000,153337000,2,149593000,0,3744000,2.32,92.68,7.32
"97","CHINA ANGEL FOOD PTE. LTD.","200604814W","Company","LIMITED PRIVATE COMPANY",2011,26164083,806089,25357994,362178,362178,0,25801905,1,30555320,177790,-4931205,2.23,98.62,1.38
"98","CHINA SUNSINE CHEMICAL HOLDINGS LTD.","200609470N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,401733000,42228000,359505000,7921000,7921000,0,393812000,1000,313471000,-5872000,100748000,5.33,98.03,1.97
"99","MAGNUS ENERGY GROUP LTD.","198301375M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,32871799,1083116,31788683,2352150,2240972,111178,30519649,0,116501816,2226865,-88209032,0.48,92.84,7.16
"100","MDR LIMITED","200009059G","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,33217000,18127000,15090000,4960000,4532000,428000,28257000,0,122117000,1612000,-95472000,4,85.07,14.93
